trade_type,entry_time,entry_price,exit_time,exit_price,size,gross_pnl_inr,swap_charges_inr,fees_inr,mae_inr,net_pnl_inr,margin_inr,status
LONG,2024-09-25 01:30:00,31.98059,2024-09-26 11:00:00,32.48059,0.01000,2200.00000,-19.97000,88.74000,1754.69140,2091.29000,79.46000,CLOSED_TP
SHORT_ORIG,2024-09-27 01:30:00,33.82229,2024-09-27 01:30:00,32.82229,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-09-30 01:15:00,33.60787,2024-09-30 01:15:00,32.60787,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-09-30 11:00:00,33.10787,2024-09-30 11:00:00,32.10787,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-09-30 11:00:00,31.10787,2024-10-01 13:30:00,31.60787,0.01000,2200.00000,-19.97000,88.74000,953.33260,2091.29000,79.46000,CLOSED_TP
SHORT_ORIG,2024-10-02 04:30:00,33.20638,2024-10-02 04:30:00,32.20638,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-10-02 04:30:00,31.20638,2024-10-02 13:00:00,31.70638,0.01000,2200.00000,-0.00000,88.74000,890.04960,2111.26000,79.46000,CLOSED_TP
LONG,2024-09-30 01:15:00,31.60787,2024-10-02 13:45:00,32.10787,0.01000,2200.00000,-39.94000,88.74000,3153.33260,2071.32000,79.46000,CLOSED_TP
SHORT_ORIG,2024-10-03 01:30:00,33.69891,2024-10-03 01:30:00,32.69891,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-10-03 01:30:00,31.69891,2024-10-03 17:15:00,32.19891,0.01000,2200.00000,-0.00000,88.74000,1248.31960,2111.26000,79.46000,CLOSED_TP
SHORT_ORIG,2024-10-04 12:30:00,33.88109,2024-10-04 12:30:00,32.88109,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-09-27 01:30:00,31.82229,2024-10-04 14:45:00,32.32229,0.01000,2200.00000,-139.79000,88.74000,4096.79160,1971.47000,79.46000,CLOSED_TP
LONG,2024-10-04 12:30:00,31.88109,2024-10-04 15:00:00,32.38109,0.01000,2200.00000,-0.00000,88.74000,1614.33140,2111.26000,79.46000,CLOSED_TP
